S.No,Institute Code,Institute Name,Place,Dist. Name,Region,CollegeType,Minority,Co-Educ.,Affil.to,BranchCode,fee,Convener Seats
152,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,OU,PVT,NA,COED,OU,CSM,140000,42
153,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,OU,PVT,NA,COED,OU,ECE,140000,126
154,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,OU,PVT,NA,COED,OU,EEE,140000,84
155,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,OU,PVT,NA,COED,OU,INF,140000,126
156,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,OU,PVT,NA,COED,OU,MEC,140000,84
157,CDTK,COLLEGE OF DAIRY TECHNOLOGY,KAMAREDDY,KMR,SW,UNIV,NA,COED,PVNRTVU,DRG,10000,23
158,CFSR,COLLEGE OF FOOD SCIENCE AND TECHNOLOGY,RUDRUR,NZB,OU,GOV,NA,COED,PJTSAU,FDT,9700,30
159,CHET,SRI CHAITANYA TECHNICAL CAMPUS,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CIV,60000,21
160,CHET,SRI CHAITANYA TECHNICAL CAMPUS,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CSE,60000,84
161,CHET,SRI CHAITANYA TECHNICAL CAMPUS,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,ECE,60000,21
162,CHET,SRI CHAITANYA TECHNICAL CAMPUS,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,EEE,60000,21
163,CHET,SRI CHAITANYA TECHNICAL CAMPUS,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,MEC,60000,21
164,CHTN,SREE CHAITANYA COLLEGE OF ENGINEERING,KARIMNAGAR,KRM,OU,PVT,NA,COED,JNTUH,CIV,63000,42
165,CHTN,SREE CHAITANYA COLLEGE OF ENGINEERING,KARIMNAGAR,KRM,OU,PVT,NA,COED,JNTUH,CSE,63000,84
166,CHTN,SREE CHAITANYA COLLEGE OF ENGINEERING,KARIMNAGAR,KRM,OU,PVT,NA,COED,JNTUH,CSG,63000,42
167,CHTN,SREE CHAITANYA COLLEGE OF ENGINEERING,KARIMNAGAR,KRM,OU,PVT,NA,COED,JNTUH,ECE,63000,84
168,CHTN,SREE CHAITANYA COLLEGE OF ENGINEERING,KARIMNAGAR,KRM,OU,PVT,NA,COED,JNTUH,EEE,63000,42
169,CHTN,SREE CHAITANYA COLLEGE OF ENGINEERING,KARIMNAGAR,KRM,OU,PVT,NA,COED,JNTUH,MEC,63000,42
170,CHTS,SREE CHAITANYA INST OF TECHNOLOGY SCIENCES,KARIMNAGAR,KRM,OU,PVT,NA,COED,JNTUH,AIM,60000,42
